Test ID,REPORT
06.GF.199.S1,+ - - - -
12.GF.186.NTC,+ - - - -
11.GF.01,+ - - - -
11.GF.06,+ - - - -
FC5,+ - - - -
FCFB_SRB3_GF,+ - - - -
FCFD_FCSRB2_GF,+ - - - -
FCFD_SRB4_GF,+ - - - -
FCFD1,+ - - - -
FCFD10,+ - - - -
FCFD2_R,+ - - - -
FCFD4_R,+ - - - -
FCFD4,+ - - - -
FCFD6,+ - - - -
FCFD8,+ - - - -
04.EN.211.S1.GL,+ - - - -
04.EN.220.S1.GL,+ - - - -
06.EN.206.S1.GL,+ - - - -
11.EN.204.S1.GL,+ - + - -
11.EN.212.S1.GL,+ - + - -
12.EN.205.S1.GL,+ - - - -
12.EN.213.S1.GL,+ - - - -
13.EN.207.S1.GL,+ - - - -
13.EN.225.S1.GL,+ - - - -
14.EN.202.S1.GL,+ - - - -
14.EN.210.S1.GL,+ - - - -
16.EN.208.S1..GL,+ - - - -
16.EN.224.S1.GL,+ - - - -
04.MB.02.S3,+ + + + - 
11.MB.30.S6,+ - - - -
11.MB.58.S6,+ - - - -
13.MB.09.S4,+ + + - -
13.MB.72.S4,+ - - + -
14.MB.13.S4,+ + + - + 
14.MB.28.S4,+ + + - + 
4.DD.62.NTC,+ - - - -
4.EN.24.S2,+ - - - -
4.MB.27.S2,+ + + + + 
4.MB.45.S1,+ + - + + 
4.MB.70.S1,+ + + + + 
6.MB.05.S3,+ - + - -
6.MB.46.S1,+ - + + - 
04.EN.122.S7,+ + - + + 
04.EN.158.S3,+ + + - + 
04.EN.171.S5,+ + + + + 
04.EN.182.S1,+ + + - -
06.EN.120.S7,+ - - - + 
06.EN.160.S4,+ - - - -
06.EN.169.S5,+ + - - -
06.EN.178.S6,+ - + + + 
06.GF.109.S4,+ + + + +
06.GF.116.S7,+ + - - -
06.GF.146.NTC,+ - - - -
11.EN.118.S2,+ - + + + 
11.EN.150.S6,+ + + + + 
11.EN.176.S6,+ + + + + 
11.EN.185.S1,+ + + - -
11.GF.98.S2,+ + + + +
12.EN.114.S2,+ + + + + 
12.EN.149.S6,+ + + + + 
12.EN.162.S4,+ - + - +
12.EN.175.S6,+ + + + + 
13.EN.124.S7,+ + + - -
13.EN.174.S6,+ + + + + 
14.EN.119.S7,+ + + + + 
14.EN.154.S3,+ - - - + 
14.EN.165.S4,+ - - + -
14.EN.168.S5,+ + + + +
14.EN.177.S6,+ + + + + 
16.EN.179.S6,+ + + + + 
17.EN.123.S7,+ + + - + 
17.EN.159.S4,+ + + + + 
17.EN.172.S5,+ - - - + 
17.EN.184.S1,+ - - - -
DI_1,+ - - - -
DI_2,+ - - - -
DI_3,+ - - - -
DI_4,+ - - - -
DI_5,+ - - - -
FCFD_FCSRB1_GF,+ - - - -
01.DD.75.S2, + + + + +
19.MB.19.S3, + + + + + 
01.MB.32.S3,+ + + + + 
01.MB.50.S8,+ + + + + 
01.MB.74.S2,+ + - - - 
01.MB.83.S1,+ + - + - 
04.EN.189.S7,+ + - - +
04.EN.196.S7,+ - - - -
04.EN.203.S9,+ + - + +
04.EN.214.S10,+ - - - -
04.EN.221.S10,+ + + + -
04.EN.235.S9,+ + + + +
04.EN.242.S9,+ + + + +
04.MB.37.S3,+ + + - +
04.MB.51.S8,+ + + + + 
04.MB.78.S2,+ + + + - 
04.MB.85.S1,+ + + + + 
06.EN.190.S7,+ - - - -
06.EN.197.S7,+ - - - -
06.EN.204.S9,+ - + + +
06.EN.215.S10,+ + + + +
06.EN.222.S10,+ - + + +
06.EN.236.S9,+ + + + +
06.MB.103.S2,+ - + + + 
06.MB.31.S5, + + + + + 
06.MB.38.S3,+ + + + + 
06.MB.53.S8,- + + + + 
06.MB.88.S1,+ - + - - 
11.EN.191.S7,+ - - - -
11.EN.198.S7,+ - - - -
11.EN.237.S9,+ + - + +
11.GF.188.S7,+ - - - -
11.MB.39.S3,+ + + + + 
12.DF.207.S11,+ - - + - 
12.EN.192.S7,+ - - - -
12.EN.199.S7,+ - - - -
12.EN.208.S11,+ + - + +
12.EN.217.S10,+ - - + +
12.EN.224.S10,+ + + + +
12.EN.238.S9,+ + + - +
12.EN.82.S1,+ - - - - 
12.GF.246.S3,+ + + + + 
13.EN.193.S7,+ - - - -
13.EN.200.S7,+ - - - -
13.EN.209.S11,+ + + + +
13.EN.218.S10,+ + - + +
13.EN.239.S9,+ + + + +
13.GF.129.S4,+ + + + + 
13.GF.56.S3, + + + + + 
13.MB.105.S2,+ - + + - 
13.MB.34.S5,+ + + + + 
13.MB.40.S3, - + + + + 
13.MB.47.S3,+ + + + + 
13.MW.232.S3,+ + + + + 
14.EN.201.S7,+ - - - -
14.EN.219.S10,+ + + + -
14.EN.233.S9,+ + - + +
14.EN.240.S9,+ + + + +
14.GF.126.S4,+ + + + + 
14.MB.106.S2,+ - - - - 
14.MB.35.S5,+ + + + + 
14.MB.93.S1, + + + + +
16.MB.52.S6, + - - - - 
17.EN.195.S7,+ - - - -
17.EN.212.S10,+ - + - -
17.EN.213.S10,+ - + - +
17.EN.220.S10,+ + + + +
