Run UID,Purpose,Sample Type,Sample Concentration,Result comments
2023-10-24_NABITA004.32_1,ADF Training of SC2A2 - NTC Test Rep 1,Negative,0,No
010725_NB2_v4_71_CS_MS2_NTC.csv,ADF Training of SC2A2 - NTC Test Rep 2,Negative,0,Yes
010725_NB2_v4_71_HS_A2_NTC.csv,ADF Training of SC2A2 - NTC Test Rep 3,Negative,0,Yes
010725_NB2_v4_71_HS_A2_PC_Swab.csv,ADF Training of SC2A2 - NTC Test Rep 4,Negative,0,Yes
011725_NB1_v4_71_CS_MS2_NTC.csv,ADF Training of SC2A2 - NTC Test Rep 5,Negative,0,Yes
011725_NB1_v4_71_HS_A2_NTC.csv,ADF Training of SC2A2 - PC-Low Test Rep 1,Positive,10,Yes
011725_NB1_v4_71_HS_A2_PC_Swab.csv,ADF Training of SC2A2 - PC-Low Test Rep 2,Positive,10,No
081424_NB1_A2_NTC_1.csv,ADF Training of SC2A2 - PC-Low Test Rep 3,Positive,10,Yes
081424_NB1_A2_NTC_2.csv,ADF Training of SC2A2 - PC-Low Test Rep 4,Positive,10,Yes
081424_NB1_A2_NTC_3.csv,ADF Training of SC2A2 - PC-Low Test Rep 5,Positive,10,Yes
081424_NB1_A2_PC_1.csv,ADF Training of SC2A2 - PC-Medium Test Rep 1,Positive,50,Yes
081424_NB1_A2_PC_2.csv,ADF Training of SC2A2 - PC-Medium Test Rep 2,Positive,50,Yes
081424_NB1_A2_PC_3.csv,ADF Training of SC2A2 - PC-Medium Test Rep 3,Positive,50,Yes
081424_NB1_MS2_NTC_1.csv,ADF Training of SC2A2 - PC-Medium Test Rep 4,Positive,50,Yes
081424_NB1_MS2_NTC_2.csv,ADF Training of SC2A2 - PC-Medium Test Rep 5,Positive,50,Yes
081424_NB1_MS2_NTC_3.csv,ADF Training of SC2A2 - PC-High Test Rep 1,Positive,1000,Yes
081424_NB2_A2_NTC_1.csv,ADF Training of SC2A2 - PC-High Test Rep 2,Positive,1000,Yes
081424_NB2_A2_NTC_2.csv,ADF Training of SC2A2 - PC-High Test Rep 3,Positive,1000,Yes
081424_NB2_A2_NTC_3.csv,ADF Training of SC2A2 - PC-High Test Rep 4,Positive,1000,Yes
081424_NB2_A2_PC_1.csv,ADF Training of SC2A2 - PC-High Test Rep 5,Positive,1000,Yes
081424_NB2_A2_PC_2.csv,ADF Training of SC2A2 - PC-Low Test Rep 6,Positive,10,No
